582	589
589	586
586	567
567	542
542	491
491	532
532	537
537	541
541	484
484	574
574	548
548	540
540	494
494	536
536	522
522	485
485	561
561	535
535	537
537	489
489	534
534	469
469	499
499	419
419	494
494	493
493	519
519	496
496	557
557	538
538	497
497	603
603	534
534	485
485	515
515	514
514	513
513	813
813	563
563	597
597	528
528	595
595	618
618	660
660	478
478	743
743	760
760	540
540	543
543	446
446	147
266	367
367	396
396	375
375	572
572	576
576	654
654	548
573	603
603	560
560	499
499	438
438	672
672	570
570	530
530	545
545	495
495	498
498	418
391	402
402	726
598	551
551	151
151	781
781	1017
1017	694
694	428
428	896
896	767
767	709
709	737
737	645
645	603
603	528
528	633
633	707
707	612
612	657
657	699
699	539
539	599
339	748
748	775
775	829
829	748
748	652
652	503
503	582
582	724
724	643
643	620
620	736
736	626
626	599
599	567
567	666
666	635
635	534
534	605
605	583
583	559
559	508
508	532
532	501
501	624
624	762
762	647
647	578
578	569
569	491
491	608
608	601
601	564
564	563
563	742
935	675
675	742
742	671
671	560
560	554
554	630
630	658
658	632
632	649
649	556
556	528
528	547
547	590
590	607
607	602
602	601
601	569
569	674
674	604
604	629
629	520
520	531
531	513
513	489
489	1582
1582	613
613	651
651	766
766	582
582	590
590	571
571	497
497	566
566	510
510	458
458	584
584	579
579	540
540	347
321	775
775	581
581	613
613	752
752	762
762	613
613	560
560	524
524	588
588	587
587	515
515	511
511	623
623	464
464	466
384	631
631	412
412	559
559	483
483	692
692	403
403	408
408	464
464	465
465	458
458	530
530	613
613	539
267	259
259	213
213	259
259	199
199	251
251	310
310	269
269	402
402	573
708	755
823	740
740	745
745	617
617	694
694	675
675	663
663	786
786	692
692	724
724	865
865	603
603	726
726	747
747	711
711	711
711	634
634	642
642	633
633	681
681	652
652	643
643	684
684	688
688	635
635	630
630	667
667	619
619	648
648	547
547	647
647	620
620	735
735	634
634	601
601	677
677	750
750	630
630	722
722	609
609	670
670	725
725	645
645	610
610	583
583	677
677	582
582	538
538	604
604	613
613	599
599	656
656	718
718	623
623	769
769	603
603	561
561	622
622	594
594	597
597	555
555	486
486	517
517	558
558	512
512	541
541	599
599	464
464	779
779	490
490	557
557	584
584	592
592	626
626	562
562	532
532	553
553	464
464	424
424	459
459	547
547	563
563	591
591	498
498	631
631	554
554	568
568	787
787	478
478	581
581	569
569	592
592	583
583	646
646	800
800	566
566	397
397	516
516	578
578	434
434	541
541	496
496	535
535	460
460	569
569	518
518	505
505	636
636	525
525	598
598	742
742	602
602	618
618	646
646	544
544	564
564	595
595	485
485	532
532	488
259	444
444	444
444	386
386	289
289	445
445	611
611	500
500	551
551	507
507	509
509	502
502	476
476	549
549	497
497	510
510	495
495	475
475	486
486	465
465	322
228	406
406	697
697	662
662	871
871	569
569	576
576	503
503	829
829	927
